Identifier,Price,Price_cat,Month_sold,Year_sold,Sale_type,Type,Area,Size,Street_front,Plot_shape,Incline,SlopeType,Condition,Year_Built,Year_Renov,Water,Tarred_road,Culdesac,Corner,Roof_Type,Bathrooms,Bedrooms,KitchenCondition,Braais_Fireplaces,Garages,Driveway,Pool,BusyStreet,NearRail,NearGreen
26313445,2150000,High,5,2020,Normal,Single storey,Residential,2952,43,Irregular,Flat,Gentle,6,1960,1960,1,Yes,0,1,Traditional,2,3,0,2,2,,Yes,0,0,0
26362385,1050000,Low,6,2020,Normal,Single storey,Residential,1080,24,Regular,Flat,Gentle,6,1961,1961,1,Yes,0,0,Traditional,1,2,0,0,1,Paved,Yes,1,0,0
26363355,1720000,Average,6,2020,Normal,Single storey,Residential,1325,25,Irregular,Flat,Gentle,6,1958,1958,1,Yes,0,1,Traditional,1.5,3,0,0,1,Paved,Yes,0,0,0
26365375,2440000,High,4,2020,Normal,Single storey,Residential,1037,28,Regular,Flat,Gentle,6,1968,1968,1,Yes,0,1,Traditional,3.5,3,1,2,2,Paved,No,0,0,0
27117355,1899000,Average,3,2020,Normal,Double storey,Residential,1285,23,Irregular,Flat,Gentle,5,1997,1998,1,Yes,0,0,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
27117375,1955000,Average,6,2020,Normal,Double storey,Residential,927,24,Irregular,Flat,Gentle,6,1998,1998,1,Yes,0,0,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
27139495,2135000,High,4,2020,Normal,Estate,Residential,457,12,Regular,Flat,Gentle,7,2001,2001,1,Yes,0,0,Traditional,3,2,0,0,2,Paved,Yes,0,0,0
27157425,1915000,Average,1,2020,Normal,Estate,Residential,465,13,Irregular,Up,Gentle,7,1992,1992,1,Yes,0,0,Traditional,2,2,0,0,2,Paved,Yes,0,0,0
27158375,2365000,High,3,2020,Normal,Estate,Residential,501,12,Irregular,Flat,Gentle,7,1995,1996,1,Yes,0,0,Traditional,3,2,0,1,2,Paved,Yes,0,0,0
27174475,1890000,Average,6,2020,Normal,Double storey,Residential,697,18,Regular,Flat,Gentle,6,1999,1999,1,Yes,0,0,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
27175355,1759000,Average,4,2020,Normal,Double storey,Residential,929,23,Irregular,Flat,Gentle,6,1993,1994,1,Yes,0,1,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
27177575,1850000,Average,3,2020,Normal,Single storey,Residential,741,,Irregular,Flat,Gentle,7,1992,2007,1,Yes,0,0,Traditional,3,3,0,0,2,Paved,Yes,0,0,0
27178385,1804000,Average,5,2020,Normal,Double storey,Residential,781,19,Irregular,Flat,Gentle,6,1998,1998,1,Yes,0,0,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
27192385,1715000,Average,2,2020,Normal,Single storey,Residential,945,26,Regular,Flat,Gentle,6,1990,1990,1,Yes,0,0,Traditional,2.5,2,0,1,2,Paved,Yes,0,0,0
27194535,2120000,High,6,2020,Normal,Estate,Residential,634,,Irregular,Flat,Gentle,7,1985,1985,1,Yes,0,1,Traditional,2.5,1,0,0,2,Paved,Yes,0,0,0
27228415,5380000,High,6,2020,Normal,Double storey,Residential,4971,14,Irregular,Up,Moderate,7,2003,2003,1,Yes,1,0,Traditional,4.5,4,1,1,3,Paved,Yes,0,0,0
27237380,1640000,Average,6,2020,Normal,Single storey,Residential,1127,46,Irregular,Down,Moderate,8,1988,2005,1,Yes,0,0,Traditional,2,4,0,0,2,Paved,Yes,0,0,0
27270355,3944320,High,6,2020,Other,Single storey,Residential,1059,27,Regular,Flat,Gentle,6,2010,2010,1,Yes,0,1,Traditional,2.5,1,1,1,3,Paved,Yes,0,0,0
27288495,1410000,Average,6,2020,Normal,Single storey,Residential,1778,43,Regular,Flat,Gentle,5,1951,1951,1,Yes,0,1,Traditional,1,2,0,0,2,Paved,No,0,0,0
27314455,2100000,High,2,2020,Normal,Single storey,Residential,1224,26,Regular,Flat,Gentle,6,1978,1988,1,Yes,0,0,Traditional,3,3,0,2,2,Paved,Yes,0,0,0
27370485,1900000,Average,1,2020,Normal,Single storey,Residential,1092,32,Irregular,Flat,Gentle,6,1977,1977,1,Yes,0,0,Traditional,2,3,0,1,2,Paved,Yes,0,0,0
27370545,1700000,Average,1,2020,Other,Double storey,Residential,987,26,Regular,Flat,Gentle,7,1974,1974,1,Yes,0,0,Traditional,3,3,0,2,2,Paved,Yes,0,0,0
